scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,A*-GA,55,0,150.0,180.0,220.0,thermal,6,0.7,292.0,993.0,240.06849315068496,0,53,53,100.0,0,,0.0,0,429.0,0,None,1,0.5586530047426445,10
compound,noFLC,55,0,150.0,180.0,220.0,thermal,6,0.7,359.0,764.0,112.81337047353762,0,53,53,100.0,3,126.45770000017365,534.5427000029304,28000,429.0,3,None,1,0.5608892204662685,10
compound,moead-cl,55,0,150.0,180.0,220.0,thermal,6,0.7,359.0,552.0,53.760445682451255,0,53,53,100.0,3,566.6184000001522,3888.44170000084,28000,429.0,3,None,1,0.5735287451193152,10
compound,EHCO,56,0,150.0,180.0,220.0,thermal,6,0.7,342.0,454.0,32.748538011695906,0,53,53,100.0,2,132.11470000169356,254.24410000414355,8000,451.0,4,None,1,0.5990049056253226,10
compound,A*-GA,56,0,150.0,180.0,220.0,thermal,6,0.7,296.0,1317.0,344.9324324324324,0,53,53,100.0,0,,0.0,0,445.0,6,None,1,0.5583685225843159,10
compound,noFLC,56,0,150.0,180.0,220.0,thermal,6,0.7,342.0,733.0,114.32748538011697,0,53,53,100.0,2,129.40490000255522,249.78810000175145,8000,451.0,4,629.0,1,0.5981839108862855,10
compound,moead-cl,56,0,150.0,180.0,220.0,thermal,6,0.7,342.0,654.0,91.22807017543859,0,53,53,100.0,3,561.6122000028554,3870.39640000512,28000,428.0,2,653.0,1,0.5694506075622131,10
compound,EHCO,57,0,150.0,180.0,220.0,thermal,6,0.7,277.0,986.0,255.956678700361,0,53,53,100.0,2,119.29159999999683,232.60189999928116,8000,447.0,3,None,1,0.5588652878389686,10
compound,A*-GA,57,0,150.0,180.0,220.0,thermal,6,0.7,287.0,1519.0,429.26829268292687,0,53,53,100.0,0,,0.0,0,439.0,7,None,1,0.558287713666078,10
compound,noFLC,57,0,150.0,180.0,220.0,thermal,6,0.7,277.0,546.0,97.11191335740072,0,53,53,100.0,2,118.41469999853871,225.36859999672743,8000,443.0,9,None,1,0.5982260699594433,10
compound,moead-cl,57,0,150.0,180.0,220.0,thermal,6,0.7,277.0,607.0,119.13357400722022,0,53,53,100.0,2,559.851100002561,1103.5791000031168,8000,447.0,3,None,1,0.5981971492639897,10
compound,EHCO,58,0,150.0,180.0,220.0,thermal,6,0.7,307.0,1376.0,348.2084690553746,0,53,53,100.0,3,141.10430000073393,732.9100000024482,28000,444.0,9,None,1,0.5582960888753201,10
compound,A*-GA,58,0,150.0,180.0,220.0,thermal,6,0.7,318.0,1186.0,272.95597484276726,0,53,53,100.0,0,,0.0,0,456.0,5,None,1,0.5583668367561573,10
compound,noFLC,58,0,150.0,180.0,220.0,thermal,6,0.7,307.0,687.0,123.7785016286645,0,53,53,100.0,3,139.47560000087833,723.5822000002372,28000,444.0,9,590.0,1,0.5981452644552803,10
